Seed,Species,Shiny,EC,PID,Tera Type,HP,Atk,Def,SpA,SpD,Spe,Ability,Nature,Gender,Height,Weight,Scale,Drops
00064186,Cetitan,No,22A3ABE1,19B896E7,Fighting,31,31,31,16,31,31,Sheer Force,Quiet,Female,65,193,117,8
001C007D,Dondozo,No,22B96AD8,8299F799,Water,31,3,31,31,31,31,Water Veil,Docile,Male,94,203,207,8
0041C06D,Dondozo,No,22DF2AC8,0B6FEA76,Steel,31,31,31,31,12,31,Water Veil,Hasty,Female,209,176,157,9
0086867F,Farigiraf,No,2323F0DA,192C44B1,Steel,31,31,31,5,31,31,Sap Sipper,Sassy,Male,148,43,168,8
00D2C674,Farigiraf,No,237030CF,47E6D75F,Dragon,17,31,31,31,31,31,Sap Sipper,Bashful,Male,20,116,112,8
00D4C678,Farigiraf,No,237230D3,5FE0C714,Ghost,31,31,31,25,31,31,Sap Sipper,Sassy,Male,150,74,161,8
00D5C081,Dondozo,No,23732ADC,5BCD08E3,Poison,31,31,1,31,31,31,Water Veil,Relaxed,Male,154,170,188,8
00D74679,Farigiraf,No,2374B0D4,55E3DAE6,Bug,31,31,31,31,31,5,Sap Sipper,Lax,Female,136,179,78,8
00D80173,Cetitan,No,23756BCE,72CA56F4,Ice,31,31,27,31,31,31,Sheer Force,Timid,Female,125,124,161,8
00DFC184,Cetitan,No,237D2BDF,73CA3302,Poison,31,31,31,31,4,31,Sheer Force,Hasty,Male,112,94,60,8
00F12678,Farigiraf,No,238E90D3,CF8A7FCD,Ghost,31,31,31,31,31,13,Sap Sipper,Serious,Male,158,29,235,8
00F20085,Dondozo,No,238F6AE0,CAF5EC6E,Normal,8,31,31,31,31,31,Water Veil,Modest,Female,133,166,132,8
00FEBD7C,Amoonguss,No,239C27D7,F9535A69,Grass,14,31,31,31,31,31,Regenerator,Careful,Male,116,145,134,8
0111C086,Dondozo,No,23AF2AE1,4AC86425,Fighting,31,31,31,8,31,31,Water Veil,Careful,Female,188,50,152,8
01132088,Dondozo,No,23B08AE3,464B286C,Poison,31,31,31,31,31,18,Water Veil,Naive,Male,231,110,127,8
0122A161,Cetitan,No,23C00BBC,88791AA9,Fire,31,31,31,31,29,31,Sheer Force,Impish,Female,159,169,137,8
01591300,Amoonguss,No,23F67D5B,6D419B75,Fairy,31,31,31,11,31,31,Regenerator,Hardy,Female,214,121,62,8
01754077,Dondozo,No,2412AAD2,DC9E1C14,Dark,28,31,31,31,31,31,Water Veil,Serious,Female,192,125,34,8
01770082,Dondozo,No,24146ADD,D5A3688B,Grass,31,19,31,31,31,31,Water Veil,Hasty,Female,131,51,231,8
017C0674,Farigiraf,No,241970CF,018E00B2,Dragon,31,31,10,31,31,31,Sap Sipper,Lax,Male,127,120,197,8
01888056,Dondozo,No,2425EAB1,303F7CCC,Fairy,31,31,31,31,2,31,Water Veil,Jolly,Male,80,188,98,8
