Seed	Shiny	Stars	Species	Level	TeraType	EC	PID	HP	ATK	DEF	SPA	SPD	SPE	Ability	Nature	Gender	Height	Weight	Scale	Move1	Move2	Move3	Move4	EventIndex	Calcs	
00000EFF	Star	5	Ludicolo	75	Steel	229D795A	2AB18C70	20	31	31	31	31	6	Swift Swim (1)	Relaxed	♀	35	184	168	Energy Ball	Surf	Fake Out	Trailblaze	0	3839	
00001486	Star	5	Victreebel	75	Fighting	229D7EE1	37BA917B	30	31	31	31	31	23	Gluttony (H)	Modest	♀	73	144	165	Sludge Bomb	Power Whip	Acid Spray	Trailblaze	0	5254	
000025AA	Star	3	Mienfoo	35	Rock	229D9005	D0B97678	12	31	27	31	2	16	Regenerator (2)	Brave	♂	70	86	187	Force Palm	Fake Out	Knock Off	Feint	0	9642	
00003EBD	Star	3	Lombre	35	Water	229DA918	28658EA4	17	19	31	0	8	31	Own Tempo (H)	Relaxed	♀	26	117	150	Razor Leaf	Water Pulse	Chilling Water	Fake Out	0	16061	
000066CE	Star	4	Mightyena	45	Fire	229DD129	BBB91D78	31	13	31	31	12	17	Quick Feet (2)	Jolly	♂	190	103	78	Crunch	Play Rough	Howl	Take Down	0	26318	
0000717F	Star	5	Ludicolo	75	Steel	229DDBDA	65F4C335	24	31	4	31	31	31	Swift Swim (1)	Hasty	♀	137	94	73	Energy Ball	Surf	Fake Out	Trailblaze	0	29055	
00008204	Star	5	Vikavolt	75	Poison	229DEC5F	827A24BB	31	3	31	5	31	31	Levitate (1)	Serious	♂	80	156	119	Discharge	Bug Buzz	Solar Beam	Zap Cannon	0	33284	
000091EC	Star	5	Shiftry	75	Ghost	229DFC47	156DB3AC	15	31	31	31	31	9	Pickpocket (H)	Sassy	♀	141	94	216	Fake Out	Sucker Punch	Leaf Blade	Extrasensory	0	37356	
0000A5D0	Star	4	Carbink	45	Grass	229E102B	D8A87E69	11	14	29	31	31	31	Clear Body (1)	Sassy	-	131	137	190	Power Gem	Moonblast	Stone Edge	Light Screen	0	42448	
0000F44B	Star	4	Piloswine	45	Bug	229E5EA6	2E7A88BB	14	21	8	31	31	31	Thick Fat (H)	Naive	♀	120	63	122	Ice Fang	Bulldoze	Ancient Power	Ice Shard	0	62539	
00010A59	Square	4	Hakamo-o	45	Bug	229E74B4	495DEF9D	31	4	31	9	26	31	Overcoat (H)	Adamant	♀	57	189	164	Dragon Claw	Screech	Close Combat	Metal Claw	0	68185	
00010C47	Star	4	Leavanny	45	Flying	229E76A2	6B15CDD4	31	31	29	9	31	27	Overcoat (H)	Timid	♂	120	183	152	X-Scissor	Leaf Blade	Trailblaze	Low Kick	0	68679	
00011D64	Star	4	Carbink	45	Poison	229E87BF	88542E95	22	31	22	31	31	21	Clear Body (1)	Sassy	-	247	6	67	Power Gem	Moonblast	Stone Edge	Light Screen	0	73060	
0001280D	Star	3	Lombre	35	Steel	229E9268	1B46BD87	18	2	9	24	31	31	Own Tempo (H)	Jolly	♂	137	187	205	Razor Leaf	Water Pulse	Chilling Water	Fake Out	0	75789	
00016781	Star	5	Politoed	75	Grass	229ED1DC	960A30CB	31	31	31	29	31	16	Damp (2)	Jolly	♂	182	157	160	Surf	Hyper Voice	Weather Ball	Encore	0	92033	
00017B17	Star	5	Dusknoir	75	Dark	229EE572	EE0948C8	31	25	31	22	31	31	Pressure (1)	Docile	♀	182	185	102	Fire Punch	Brick Break	Shadow Ball	Shadow Punch	0	97047	
00017F98	Star	5	Snorlax	75	Ghost	229EE9F3	EF1549D4	31	31	10	31	31	31	Thick Fat (2)	Quirky	♂	169	109	114	Body Slam	Heavy Slam	Bite	Mud-Slap	0	98200	
000189C3	Star	3	Munchlax	35	Water	229EF41E	EE7948B8	31	10	8	24	31	24	Thick Fat (2)	Jolly	♂	69	154	129	Bite	Covet	Flail	Defense Curl	0	100803	
00019FEE	Star	5	Milotic	75	Fire	229F0A49	0391A550	31	13	31	27	31	31	Marvel Scale (1)	Jolly	♂	198	123	72	Chilling Water	Surf	Dragon Pulse	Attract	0	106478	
0001A214	Star	4	Dipplin	45	Dragon	229F0C6F	0E2FA8EE	31	31	10	31	26	11	Supersweet Syrup (1)	Relaxed	♀	160	232	136	Syrup Bomb	Dragon Breath	Double Hit	Energy Ball	0	107028	
0001F4F7	Star	5	Ludicolo	75	Dark	229F5F52	FFFC593D	31	31	31	31	14	15	Own Tempo (H)	Gentle	♀	138	118	122	Energy Ball	Surf	Fake Out	Trailblaze	0	128247	
0001F54C	Star	4	Crawdaunt	45	Ghost	229F5FA7	257483B5	31	31	23	7	31	2	Hyper Cutter (1)	Hasty	♂	202	135	163	Knock Off	Crabhammer	Aqua Jet	Taunt	0	128332	
00026D05	Star	5	Mienshao	75	Normal	229FD760	EF984959	31	31	31	9	24	31	Reckless (H)	Rash	♀	129	159	43	Aura Sphere	Poison Jab	Taunt	Acrobatics	0	158981	
00028C61	Star	4	Leavanny	45	Psychic	229FF6BC	432CE5ED	31	31	18	31	31	24	Swarm (1)	Impish	♀	160	128	184	X-Scissor	Leaf Blade	Trailblaze	Low Kick	0	167009	
