Seed	Item1	Item2	Item3	Item4	Item5	Item6	Item7	Item8	Item9	Item10	Item11	Item12	Item13	Item14	Item15	Item16	Item17	Item18	Item19	Item20	Item21	Item22	Item23	Item24	Item25	ExtraInfo	EventIndex	Calcs	
00161900	Exp. Candy L x1 	Exp. Candy XL x1 	Elekid Fur x5 	Muscle Feather x3 	Elekid Fur x3 (C)	Grass Tera Shard x2 	Grass Tera Shard x2 (H)	Brave Mint x1 	Spicy Herba Mystica x1 	Exp. Candy L x1 	Lonely Mint x1 	Exp. Candy L x2 	Lonely Mint x1 	Exp. Candy L x2 	Spicy Herba Mystica x1 	Spicy Herba Mystica x1 	Brave Mint x1 									Electivire (5☆) (Star)	0	1448192	
002E0297	Exp. Candy L x1 	Exp. Candy XL x1 	Lapras Teardrop x5 	Health Feather x3 	Lapras Teardrop x3 (C)	Dark Tera Shard x2 	Dark Tera Shard x2 (H)	Salty Herba Mystica x1 	Sweet Herba Mystica x1 	PP Up x1 	Exp. Candy L x1 	Nugget x1 	Dark Tera Shard x1 	Sweet Herba Mystica x1 	Exp. Candy L x1 	Exp. Candy L x1 										Lapras (5☆) (Star)	0	3015319	
00351972	Exp. Candy L x1 	Exp. Candy XL x1 	Horsea Ink x5 	Health Feather x3 	Horsea Ink x3 (C)	Psychic Tera Shard x2 	Psychic Tera Shard x2 (H)	Sour Herba Mystica x1 	Exp. Candy L x1 	Big Mushroom x1 	Salty Herba Mystica x1 	Horsea Ink x2 	Spicy Herba Mystica x1 	PP Up x1 	Big Mushroom x1 	Big Mushroom x1 										Kingdra (5☆) (Star)	0	3479922	
0043EDFE	Exp. Candy L x1 	Exp. Candy XL x1 	Inkay Ink x5 	Health Feather x3 	Inkay Ink x3 (C)	Fire Tera Shard x2 	Fire Tera Shard x2 (H)	Spicy Herba Mystica x1 	Big Mushroom x1 	Exp. Candy L x1 	Pomeg Berry x3 	Salty Herba Mystica x1 	Exp. Candy L x1 	Bitter Herba Mystica x1 	Pomeg Berry x3 	Exp. Candy L x1 										Malamar (5☆) (Star)	0	4451838	
005E070E	Exp. Candy L x1 	Exp. Candy XL x1 	Horsea Ink x5 	Health Feather x3 	Horsea Ink x3 (C)	Fire Tera Shard x2 	Fire Tera Shard x2 (H)	Sweet Herba Mystica x1 	Sour Herba Mystica x1 	Exp. Candy L x2 	Health Feather x2 	Exp. Candy L x2 	Bottle Cap x1 	Nugget x1 	Horsea Ink x2 	Salty Herba Mystica x1 	Big Mushroom x1 									Kingdra (5☆) (Star)	0	6162190	
0061C811	Exp. Candy L x1 	Exp. Candy XL x1 	Rhyhorn Fang x5 	Muscle Feather x3 	Rhyhorn Fang x3 (C)	Electric Tera Shard x2 	Electric Tera Shard x2 (H)	Ability Capsule x1 	Kelpsy Berry x3 	Spicy Herba Mystica x1 	Spicy Herba Mystica x1 	Star Piece x1 	Exp. Candy L x2 	Naughty Mint x1 	Spicy Herba Mystica x1 	Naughty Mint x1 										Rhyperior (5☆) (Star)	0	6408209	
006ECDEE	Exp. Candy L x1 	Exp. Candy XL x1 	Inkay Ink x5 	Health Feather x3 	Inkay Ink x3 (C)	Fire Tera Shard x2 	Fire Tera Shard x2 (H)	Big Mushroom x1 	Sweet Herba Mystica x1 	Sweet Herba Mystica x1 	Bitter Herba Mystica x1 	PP Up x1 	Pomeg Berry x3 	Big Mushroom x1 	Pomeg Berry x3 	Nugget x1 										Malamar (5☆) (Star)	0	7261678	
00718686	Exp. Candy L x1 	Exp. Candy XL x1 	Horsea Ink x5 	Health Feather x3 	Horsea Ink x3 (C)	Fighting Tera Shard x2 	Fighting Tera Shard x2 (H)	Nugget x1 	Exp. Candy L x2 	Sour Herba Mystica x1 	Exp. Candy L x1 	Exp. Candy L x2 	Exp. Candy L x1 	Nugget x1 	Salty Herba Mystica x1 	Pomeg Berry x3 	Sour Herba Mystica x1 									Kingdra (5☆) (Star)	0	7440006	
00808B7A	Exp. Candy L x1 	Exp. Candy XL x1 	Lapras Teardrop x5 	Health Feather x3 	Lapras Teardrop x3 (C)	Rock Tera Shard x2 	Rock Tera Shard x2 (H)	Health Feather x2 	Pomeg Berry x3 	Exp. Candy L x1 	Sweet Herba Mystica x1 	PP Up x1 	Health Feather x2 	Sour Herba Mystica x1 	Bitter Herba Mystica x1 	Big Mushroom x1 										Lapras (5☆) (Star)	0	8424314	
008BAE08	Exp. Candy L x1 	Exp. Candy XL x1 	Lapras Teardrop x5 	Health Feather x3 	Lapras Teardrop x3 (C)	Poison Tera Shard x2 	Poison Tera Shard x2 (H)	Pomeg Berry x3 	Lapras Teardrop x2 	Health Feather x2 	Bitter Herba Mystica x1 	Salty Herba Mystica x1 	Big Mushroom x1 	Rare Candy x1 	Ability Capsule x1 	Pomeg Berry x3 	Spicy Herba Mystica x1 									Lapras (5☆) (Star)	0	9154056	
00AC3E7C	Exp. Candy L x1 	Exp. Candy XL x1 	Lapras Teardrop x5 	Health Feather x3 	Lapras Teardrop x3 (C)	Grass Tera Shard x2 	Grass Tera Shard x2 (H)	Exp. Candy L x1 	Sweet Herba Mystica x1 	Sweet Herba Mystica x1 	Spicy Herba Mystica x1 	PP Up x1 	Big Mushroom x1 	Exp. Candy L x1 	Exp. Candy L x1 	Sweet Herba Mystica x1 										Lapras (5☆) (Star)	0	11288188	
00B9596F	Exp. Candy L x1 	Exp. Candy XL x1 	Horsea Ink x5 	Health Feather x3 	Horsea Ink x3 (C)	Water Tera Shard x2 	Water Tera Shard x2 (H)	Sour Herba Mystica x1 	Spicy Herba Mystica x1 	Exp. Candy L x2 	Exp. Candy L x1 	Health Feather x2 	Exp. Candy L x1 	Horsea Ink x2 	Salty Herba Mystica x1 	Big Mushroom x1 										Kingdra (5☆) (Star)	0	12147055	
00C48D86	Exp. Candy L x1 	Exp. Candy XL x1 	Inkay Ink x5 	Health Feather x3 	Inkay Ink x3 (C)	Fighting Tera Shard x2 	Fighting Tera Shard x2 (H)	Big Mushroom x1 	Bitter Herba Mystica x1 	Inkay Ink x2 	Exp. Candy L x1 	Exp. Candy L x1 	Health Feather x2 	PP Up x1 	Exp. Candy L x2 	Spicy Herba Mystica x1 	Salty Herba Mystica x1 									Malamar (5☆) (Star)	0	12881286	
00CE5975	Exp. Candy L x1 	Exp. Candy XL x1 	Horsea Ink x5 	Health Feather x3 	Horsea Ink x3 (C)	Dark Tera Shard x2 	Dark Tera Shard x2 (H)	Sour Herba Mystica x1 	Bitter Herba Mystica x1 	Exp. Candy L x1 	Exp. Candy L x2 	Bottle Cap x1 	Horsea Ink x2 	Salty Herba Mystica x1 	Sour Herba Mystica x1 	Exp. Candy L x2 										Kingdra (5☆) (Star)	0	13523317	
00D09E10	Exp. Candy L x1 	Exp. Candy XL x1 	Inkay Ink x5 	Health Feather x3 	Inkay Ink x3 (C)	Grass Tera Shard x2 	Grass Tera Shard x2 (H)	Spicy Herba Mystica x1 	Big Mushroom x1 	Big Mushroom x1 	Exp. Candy L x1 	Sweet Herba Mystica x1 	Big Mushroom x1 	Big Mushroom x1 	PP Up x1 	Salty Herba Mystica x1 										Malamar (5☆) (Star)	0	13671952	
00D9D007	Exp. Candy L x1 	Exp. Candy XL x1 	Horsea Ink x5 	Health Feather x3 	Horsea Ink x3 (C)	Flying Tera Shard x2 	Flying Tera Shard x2 (H)	Rare Candy x1 	Pomeg Berry x3 	Sweet Herba Mystica x1 	Salty Herba Mystica x1 	Pomeg Berry x3 	Horsea Ink x2 	Spicy Herba Mystica x1 	Exp. Candy L x1 	Pomeg Berry x3 	Sweet Herba Mystica x1 									Kingdra (5☆) (Square)	0	14274567	
00E3CE08	Exp. Candy L x1 	Exp. Candy XL x1 	Lapras Teardrop x5 	Health Feather x3 	Lapras Teardrop x3 (C)	Poison Tera Shard x2 	Poison Tera Shard x2 (H)	Pomeg Berry x3 	Bottle Cap x1 	Salty Herba Mystica x1 	Exp. Candy L x2 	Balm Mushroom x1 	Bottle Cap x1 	Sour Herba Mystica x1 	Pomeg Berry x3 	Bitter Herba Mystica x1 	Lapras Teardrop x2 									Lapras (5☆) (Star)	0	14929416	
010B0971	Exp. Candy L x1 	Exp. Candy XL x1 	Horsea Ink x5 	Health Feather x3 	Horsea Ink x3 (C)	Electric Tera Shard x2 	Electric Tera Shard x2 (H)	Health Feather x2 	Exp. Candy L x1 	Exp. Candy L x1 	Nugget x1 	Sour Herba Mystica x1 	Big Mushroom x1 	Spicy Herba Mystica x1 	Big Mushroom x1 	Spicy Herba Mystica x1 										Kingdra (5☆) (Star)	0	17500529	
0113E80D	Exp. Candy L x1 	Exp. Candy XL x1 	Horsea Ink x5 	Health Feather x3 	Horsea Ink x3 (C)	Steel Tera Shard x2 	Steel Tera Shard x2 (H)	Sour Herba Mystica x1 	Exp. Candy L x2 	Sour Herba Mystica x1 	Pomeg Berry x3 	Steel Tera Shard x1 	Big Mushroom x1 	Health Feather x2 	Exp. Candy L x2 	Salty Herba Mystica x1 										Kingdra (5☆) (Star)	0	18081805	
