Seed	Item1	Item2	Item3	Item4	Item5	Item6	Item7	Item8	Item9	Item10	Item11	Item12	Item13	Item14	Item15	Item16	Item17	Item18	Item19	Item20	Item21	Item22	Item23	Item24	Item25	ExtraInfo	EventIndex	Calcs	
0000827B	Exp. Candy L x1 	Exp. Candy XL x1 	Phantump Twig x5 	Muscle Feather x3 	Phantump Twig x3 (C)	Ground Tera Shard x2 	Ground Tera Shard x2 (H)	Star Piece x1 	Exp. Candy L x1 	Spicy Herba Mystica x1 	Naughty Mint x1 	Star Piece x1 	Lonely Mint x1 	Phantump Twig x2 	Brave Mint x1 	Spicy Herba Mystica x1 										Trevenant (5☆) (Star)	0	33403	
00085570	Exp. Candy L x1 	Exp. Candy XL x1 	Vullaby Feather x5 	Health Feather x3 	Vullaby Feather x3 (C)	Grass Tera Shard x2 	Grass Tera Shard x2 (H)	Sweet Herba Mystica x1 	Vullaby Feather x2 	Bitter Herba Mystica x1 	Grass Tera Shard x1 	Exp. Candy L x1 	Bottle Cap x1 	Pomeg Berry x3 	Big Mushroom x1 	Health Feather x2 										Mandibuzz (5☆) (Star)	0	546160	
00099301	Exp. Candy L x1 	Exp. Candy XL x1 	Basculin Fang x5 	Health Feather x3 	Basculin Fang x3 (C)	Fire Tera Shard x2 	Fire Tera Shard x2 (H)	Ability Capsule x1 	Fire Tera Shard x1 	Basculin Fang x2 	Health Feather x2 	Health Feather x2 	Health Feather x2 	Big Mushroom x1 	Spicy Herba Mystica x1 	Health Feather x2 	Bitter Herba Mystica x1 									Basculegion (5☆) (Star)	0	627457	
000A610B	Exp. Candy L x1 	Exp. Candy XL x1 	Basculin Fang x5 	Health Feather x3 	Basculin Fang x3 (C)	Bug Tera Shard x2 	Bug Tera Shard x2 (H)	Big Mushroom x1 	Bottle Cap x1 	Health Feather x2 	Health Feather x2 	Spicy Herba Mystica x1 	Big Mushroom x1 	Sour Herba Mystica x1 	Salty Herba Mystica x1 	Bottle Cap x1 	Salty Herba Mystica x1 									Basculegion (5☆) (Star)	0	680203	
000C5500	Exp. Candy L x1 	Exp. Candy XL x1 	Duskull Fragment x5 	Health Feather x3 	Duskull Fragment x3 (C)	Fire Tera Shard x2 	Fire Tera Shard x2 (H)	Sweet Herba Mystica x1 	Exp. Candy L x1 	Exp. Candy L x1 	Rare Candy x1 	Sweet Herba Mystica x1 	Health Feather x2 	Salty Herba Mystica x1 	Exp. Candy L x2 	Pomeg Berry x3 	Pomeg Berry x3 									Dusknoir (5☆) (Star)	0	808192	
000E8C71	Exp. Candy L x1 	Exp. Candy XL x1 	Duskull Fragment x5 	Health Feather x3 	Duskull Fragment x3 (C)	Electric Tera Shard x2 	Electric Tera Shard x2 (H)	Pomeg Berry x3 	Duskull Fragment x2 	Exp. Candy L x1 	Nugget x1 	Sour Herba Mystica x1 	Health Feather x2 	Exp. Candy L x2 	Sweet Herba Mystica x1 	Big Mushroom x1 										Dusknoir (5☆) (Star)	0	953457	
00161900	Exp. Candy L x1 	Exp. Candy XL x1 	Munchlax Fang x5 	Health Feather x3 	Munchlax Fang x3 (C)	Grass Tera Shard x2 	Grass Tera Shard x2 (H)	Sour Herba Mystica x1 	Spicy Herba Mystica x1 	Exp. Candy L x1 	Salty Herba Mystica x1 	Exp. Candy L x2 	Salty Herba Mystica x1 	Exp. Candy L x2 	Spicy Herba Mystica x1 	Spicy Herba Mystica x1 	Sour Herba Mystica x1 									Snorlax (5☆) (Star)	0	1448192	
00162698	Exp. Candy L x1 	Exp. Candy XL x1 	Duskull Fragment x5 	Health Feather x3 	Duskull Fragment x3 (C)	Ghost Tera Shard x2 	Ghost Tera Shard x2 (H)	Exp. Candy L x1 	Salty Herba Mystica x1 	Sweet Herba Mystica x1 	Ability Capsule x1 	Bitter Herba Mystica x1 	Duskull Fragment x2 	Spicy Herba Mystica x1 	Spicy Herba Mystica x1 	Sweet Herba Mystica x1 										Dusknoir (5☆) (Star)	0	1451672	
0019CD94	Exp. Candy L x1 	Exp. Candy XL x1 	Basculin Fang x5 	Health Feather x3 	Basculin Fang x3 (C)	Dragon Tera Shard x2 	Dragon Tera Shard x2 (H)	Health Feather x2 	Sour Herba Mystica x1 	Big Mushroom x1 	Balm Mushroom x1 	Salty Herba Mystica x1 	Rare Candy x1 	Rare Candy x1 	Dragon Tera Shard x1 	Exp. Candy L x1 	Exp. Candy L x1 									Basculegion (5☆) (Star)	0	1691028	
00200C7F	Exp. Candy L x1 	Exp. Candy XL x1 	Duskull Fragment x5 	Health Feather x3 	Duskull Fragment x3 (C)	Steel Tera Shard x2 	Steel Tera Shard x2 (H)	Pomeg Berry x3 	Exp. Candy L x2 	Salty Herba Mystica x1 	Duskull Fragment x2 	PP Up x1 	Steel Tera Shard x1 	Exp. Candy L x2 	Exp. Candy L x1 	Spicy Herba Mystica x1 	Big Mushroom x1 									Dusknoir (5☆) (Star)	0	2100351	
