Seed	Item1	Item2	Item3	Item4	Item5	Item6	Item7	Item8	Item9	Item10	Item11	Item12	Item13	Item14	Item15	Item16	Item17	Item18	Item19	Item20	Item21	Item22	Item23	Item24	Item25	ExtraInfo	EventIndex	Calcs	
00161900	Exp. Candy L x1 	Exp. Candy XL x1 	Passimian Fur x5 	Muscle Feather x3 	Passimian Fur x3 (C)	Grass Tera Shard x2 	Grass Tera Shard x2 (H)	Brave Mint x1 	Spicy Herba Mystica x1 	Exp. Candy L x1 	Lonely Mint x1 	Exp. Candy L x2 	Lonely Mint x1 	Exp. Candy L x2 	Spicy Herba Mystica x1 	Spicy Herba Mystica x1 	Brave Mint x1 									Passimian (5☆) (Star)	0	1448192	
0022FD6F	Exp. Candy L x1 	Exp. Candy XL x1 	Happiny Dust x5 	Health Feather x3 	Happiny Dust x3 (C)	Water Tera Shard x2 	Water Tera Shard x2 (H)	Exp. Candy L x1 	PP Up x1 	Sweet Herba Mystica x1 	Bitter Herba Mystica x1 	Exp. Candy L x2 	Sweet Herba Mystica x1 	Pomeg Berry x3 	Exp. Candy L x1 	Big Mushroom x1 										Blissey (5☆) (Star)	0	2293103	
003B2D05	Exp. Candy L x1 	Exp. Candy XL x1 	Cetoddle Grease x5 	Health Feather x3 	Cetoddle Grease x3 (C)	Normal Tera Shard x2 	Normal Tera Shard x2 (H)	Bottle Cap x1 	Nugget x1 	Spicy Herba Mystica x1 	Sour Herba Mystica x1 	Exp. Candy L x1 	Ability Capsule x1 	Cetoddle Grease x2 	Normal Tera Shard x1 	Health Feather x2 	Bitter Herba Mystica x1 									Cetitan (5☆) (Star)	0	3878149	
0061C811	Exp. Candy L x1 	Exp. Candy XL x1 	Bounsweet Sweat x5 	Muscle Feather x3 	Bounsweet Sweat x3 (C)	Electric Tera Shard x2 	Electric Tera Shard x2 (H)	Ability Capsule x1 	Kelpsy Berry x3 	Spicy Herba Mystica x1 	Spicy Herba Mystica x1 	Star Piece x1 	Exp. Candy L x2 	Naughty Mint x1 	Spicy Herba Mystica x1 	Naughty Mint x1 										Tsareena (5☆) (Star)	0	6408209	
00718686	Exp. Candy L x1 	Exp. Candy XL x1 	Cetoddle Grease x5 	Health Feather x3 	Cetoddle Grease x3 (C)	Fighting Tera Shard x2 	Fighting Tera Shard x2 (H)	Nugget x1 	Exp. Candy L x2 	Sour Herba Mystica x1 	Exp. Candy L x1 	Exp. Candy L x2 	Exp. Candy L x1 	Nugget x1 	Salty Herba Mystica x1 	Pomeg Berry x3 	Sour Herba Mystica x1 									Cetitan (5☆) (Star)	0	7440006	
00808B7A	Exp. Candy L x1 	Exp. Candy XL x1 	Foongus Spores x5 	Health Feather x3 	Foongus Spores x3 (C)	Rock Tera Shard x2 	Rock Tera Shard x2 (H)	Health Feather x2 	Pomeg Berry x3 	Exp. Candy L x1 	Sweet Herba Mystica x1 	PP Up x1 	Health Feather x2 	Sour Herba Mystica x1 	Bitter Herba Mystica x1 	Big Mushroom x1 										Amoonguss (5☆) (Star)	0	8424314	
00AC3E7C	Exp. Candy L x1 	Exp. Candy XL x1 	Gastly Gas x5 	Health Feather x3 	Gastly Gas x3 (C)	Grass Tera Shard x2 	Grass Tera Shard x2 (H)	Exp. Candy L x1 	Sweet Herba Mystica x1 	Sweet Herba Mystica x1 	Spicy Herba Mystica x1 	PP Up x1 	Big Mushroom x1 	Exp. Candy L x1 	Exp. Candy L x1 	Sweet Herba Mystica x1 										Gengar (5☆) (Star)	0	11288188	
00AE4B02	Exp. Candy L x1 	Exp. Candy XL x1 	Foongus Spores x5 	Health Feather x3 	Foongus Spores x3 (C)	Water Tera Shard x2 	Water Tera Shard x2 (H)	Health Feather x2 	Bitter Herba Mystica x1 	Sour Herba Mystica x1 	Big Mushroom x1 	PP Up x1 	Exp. Candy L x2 	Exp. Candy L x1 	Balm Mushroom x1 	Bottle Cap x1 	Sweet Herba Mystica x1 									Amoonguss (5☆) (Star)	0	11422466	
00EA4687	Exp. Candy L x1 	Exp. Candy XL x1 	Cetoddle Grease x5 	Health Feather x3 	Cetoddle Grease x3 (C)	Flying Tera Shard x2 	Flying Tera Shard x2 (H)	Nugget x1 	Exp. Candy L x1 	Sweet Herba Mystica x1 	Spicy Herba Mystica x1 	Pomeg Berry x3 	Exp. Candy L x1 	Sweet Herba Mystica x1 	Big Mushroom x1 	Exp. Candy L x1 	Cetoddle Grease x2 									Cetitan (5☆) (Star)	0	15353479	
00FE970A	Exp. Candy L x1 	Exp. Candy XL x1 	Foongus Spores x5 	Health Feather x3 	Foongus Spores x3 (C)	Rock Tera Shard x2 	Rock Tera Shard x2 (H)	Health Feather x2 	Bottle Cap x1 	Exp. Candy L x1 	Spicy Herba Mystica x1 	Exp. Candy L x2 	Exp. Candy L x1 	Bottle Cap x1 	Sweet Herba Mystica x1 	Bitter Herba Mystica x1 										Amoonguss (5☆) (Star)	0	16684810	
011C4B01	Exp. Candy L x1 	Exp. Candy XL x1 	Foongus Spores x5 	Health Feather x3 	Foongus Spores x3 (C)	Flying Tera Shard x2 	Flying Tera Shard x2 (H)	Health Feather x2 	Big Mushroom x1 	Exp. Candy L x2 	Big Mushroom x1 	Bitter Herba Mystica x1 	Exp. Candy L x1 	Bitter Herba Mystica x1 	Rare Candy x1 	Sweet Herba Mystica x1 	Foongus Spores x2 									Amoonguss (5☆) (Square)	0	18631425	
01583E71	Exp. Candy L x1 	Exp. Candy XL x1 	Gastly Gas x5 	Health Feather x3 	Gastly Gas x3 (C)	Electric Tera Shard x2 	Electric Tera Shard x2 (H)	Exp. Candy L x1 	Ability Capsule x1 	Salty Herba Mystica x1 	Sweet Herba Mystica x1 	Exp. Candy L x2 	Exp. Candy L x1 	Exp. Candy L x1 	Salty Herba Mystica x1 	Exp. Candy L x2 										Gengar (5☆) (Star)	0	22560369	
01E529F1	Exp. Candy L x1 	Exp. Candy XL x1 	Shinx Fang x5 	Muscle Feather x3 	Shinx Fang x3 (C)	Electric Tera Shard x2 	Electric Tera Shard x2 (H)	Exp. Candy L x2 	Spicy Herba Mystica x1 	Spicy Herba Mystica x1 	Nugget x1 	Adamant Mint x1 	Spicy Herba Mystica x1 	Kelpsy Berry x3 	Nugget x1 	Rare Candy x1 										Luxray (5☆) (Star)	0	31795697	
0225BD7D	Exp. Candy L x1 	Exp. Candy XL x1 	Happiny Dust x5 	Health Feather x3 	Happiny Dust x3 (C)	Water Tera Shard x2 	Water Tera Shard x2 (H)	Exp. Candy L x1 	Exp. Candy L x1 	PP Up x1 	Big Mushroom x1 	Health Feather x2 	Bitter Herba Mystica x1 	Exp. Candy L x1 	Spicy Herba Mystica x1 	Salty Herba Mystica x1 										Blissey (5☆) (Star)	0	36027773	
022F2A00	Exp. Candy L x1 	Exp. Candy XL x1 	Dondozo Whisker x5 	Health Feather x3 	Dondozo Whisker x3 (C)	Ghost Tera Shard x2 	Ghost Tera Shard x2 (H)	Big Mushroom x1 	Pomeg Berry x3 	Nugget x1 	Big Mushroom x1 	Health Feather x2 	Bitter Herba Mystica x1 	Pomeg Berry x3 	Exp. Candy L x2 	Sour Herba Mystica x1 	Spicy Herba Mystica x1 									Dondozo (5☆) (Star)	0	36645376	
0235AD92	Exp. Candy L x1 	Exp. Candy XL x1 	Snorunt Fur x5 	Health Feather x3 	Snorunt Fur x3 (C)	Psychic Tera Shard x2 	Psychic Tera Shard x2 (H)	Exp. Candy L x1 	Spicy Herba Mystica x1 	Health Feather x2 	Bottle Cap x1 	Sour Herba Mystica x1 	Sour Herba Mystica x1 	Big Mushroom x1 	Health Feather x2 	Exp. Candy L x1 										Glalie (5☆) (Star)	0	37072274	
02393078	Exp. Candy L x1 	Exp. Candy XL x1 	Snorunt Fur x5 	Health Feather x3 	Snorunt Fur x3 (C)	Ghost Tera Shard x2 	Ghost Tera Shard x2 (H)	Exp. Candy L x1 	Bitter Herba Mystica x1 	Big Mushroom x1 	Health Feather x2 	Sweet Herba Mystica x1 	Exp. Candy L x1 	Exp. Candy L x2 	Spicy Herba Mystica x1 	Exp. Candy L x1 										Glalie (5☆) (Square)	0	37302392	
