ID	Type	Seed	Pokemon	Ability	Nature	Gender	HP	ATK	DEF	SPA	SPD	SPE	TeraType	IVCount	Stars	Mark
ME1	Base	1F390FC9	Iron Moth	Quark Drive (1)	Impish	-	31	5	31	31	31	31	Grass	5	5	Jumbo
ME2	Base	2AC45D03	Iron Moth	Quark Drive (1)	Quiet	-	31	31	31	10	31	31	Grass	5	5	Jumbo
ME3	Base	36183F4D	Iron Moth	Quark Drive (1)	Bashful	-	31	31	14	31	31	31	Steel	5	5	Jumbo
ME4	Base	574177A1	Iron Moth	Quark Drive (1)	Serious	-	31	30	31	31	31	31	Steel	5	5	Jumbo
ME5	Base	738898F4	Iron Moth	Quark Drive (1)	Lonely	-	31	31	31	31	31	6	Grass	5	5	Teeny
ME6	Base	89A36E05	Iron Moth	Quark Drive (1)	Hardy	-	0	31	31	31	31	31	Grass	5	5	Teeny
ME7	Base	A5377AFE	Iron Moth	Quark Drive (1)	Calm	-	31	31	31	18	31	31	Grass	5	5	Teeny
ME8	Base	BC0BB9E1	Iron Moth	Quark Drive (1)	Hardy	-	31	31	31	18	31	31	Grass	5	5	Teeny
ME9	Base	BF416659	Iron Moth	Quark Drive (1)	Quiet	-	25	31	31	31	31	31	Grass	5	5	Jumbo
ME10	Base	C8070EDF	Iron Moth	Quark Drive (1)	Gentle	-	31	31	31	1	31	31	Grass	5	5	Jumbo
ME11	Base	00294D24	Iron Moth	Quark Drive (1)	Lax	-	17	31	31	23	31	31	Grass	4	5	Jumbo
ME12	Base	01D19A1D	Iron Moth	Quark Drive (1)	Jolly	-	31	31	31	22	15	31	Water	4	5	Teeny
ME13	Base	0477DA66	Iron Moth	Quark Drive (1)	Impish	-	31	31	16	31	29	31	Grass	4	5	Jumbo
ME14	Base	059A8B63	Iron Moth	Quark Drive (1)	Hardy	-	31	14	31	31	17	31	Ice	4	5	Jumbo
ME15	Base	05ABEDFF	Iron Moth	Quark Drive (1)	Serious	-	31	6	14	31	31	31	Steel	4	5	Jumbo
ME16	Base	06907AE9	Iron Moth	Quark Drive (1)	Quirky	-	31	31	31	31	10	14	Ground	4	5	Teeny
ME17	Base	06D17CEA	Iron Moth	Quark Drive (1)	Adamant	-	31	13	31	31	31	11	Grass	4	5	Jumbo
ME18	Base	074F816D	Iron Moth	Quark Drive (1)	Jolly	-	31	7	14	31	31	31	Steel	4	5	Jumbo
ME19	Base	0ACE4DFF	Iron Moth	Quark Drive (1)	Naughty	-	31	31	12	31	31	0	Grass	4	5	Jumbo
ME20	Base	0B0F47F6	Iron Moth	Quark Drive (1)	Quirky	-	26	31	31	31	22	31	Fairy	4	5	Teeny
ME21	Base	0BA50BAF	Iron Moth	Quark Drive (1)	Hardy	-	31	31	16	10	31	31	Grass	4	5	Jumbo
ME22	Base	0FA59196	Iron Moth	Quark Drive (1)	Sassy	-	19	31	31	2	31	31	Fairy	4	5	Teeny
ME23	Base	10DA62BC	Iron Moth	Quark Drive (1)	Rash	-	31	23	31	31	31	0	Grass	4	5	Jumbo
ME24	Base	1371913B	Iron Moth	Quark Drive (1)	Serious	-	26	31	31	31	31	19	Bug	4	5	Jumbo
ME25	Base	1781AEBD	Iron Moth	Quark Drive (1)	Naive	-	31	31	16	31	2	31	Electric	4	5	Jumbo
ME26	Base	17C72F67	Iron Moth	Quark Drive (1)	Naughty	-	31	31	31	14	19	31	Flying	4	5	Teeny
ME27	Base	1ACB3E49	Iron Moth	Quark Drive (1)	Hardy	-	31	31	11	31	31	6	Grass	4	5	Jumbo
ME28	Base	1FB12676	Iron Moth	Quark Drive (1)	Lonely	-	31	31	31	31	18	9	Fairy	4	5	Jumbo
ME29	Base	22F623D1	Iron Moth	Quark Drive (1)	Naive	-	31	31	31	21	10	31	Electric	4	5	Jumbo
ME30	Base	23FBF7EB	Iron Moth	Quark Drive (1)	Quiet	-	31	10	25	31	31	31	Bug	4	5	Jumbo
ME31	Base	249B7A21	Iron Moth	Quark Drive (1)	Careful	-	31	31	31	5	9	31	Flying	4	5	Jumbo
