ID	Type	Seed	Pokemon	Ability	Nature	Gender	HP	ATK	DEF	SPA	SPD	SPE	TeraType	IVCount	Stars	Mark
ME1S	Base	1F390FC9	Slither Wing	Protosynthesis (1)	Impish	-	31	5	31	31	31	31	Fire	5	5	Jumbo
ME2S	Base	2AC45D03	Slither Wing	Protosynthesis (1)	Quiet	-	31	31	31	10	31	31	Fire	5	5	Jumbo
ME3S	Base	36183F4D	Slither Wing	Protosynthesis (1)	Bashful	-	31	31	14	31	31	31	Steel	5	5	Jumbo
ME4S	Base	574177A1	Slither Wing	Protosynthesis (1)	Serious	-	31	30	31	31	31	31	Steel	5	5	Jumbo
ME5S	Base	738898F4	Slither Wing	Protosynthesis (1)	Lonely	-	31	31	31	31	31	6	Fire	5	5	Teeny
ME6S	Base	89A36E05	Slither Wing	Protosynthesis (1)	Hardy	-	0	31	31	31	31	31	Fire	5	5	Teeny
ME7S	Base	A5377AFE	Slither Wing	Protosynthesis (1)	Calm	-	31	31	31	18	31	31	Fire	5	5	Teeny
ME8S	Base	BC0BB9E1	Slither Wing	Protosynthesis (1)	Hardy	-	31	31	31	18	31	31	Fire	5	5	Teeny
ME9S	Base	BF416659	Slither Wing	Protosynthesis (1)	Quiet	-	25	31	31	31	31	31	Fire	5	5	Jumbo
ME10S	Base	C8070EDF	Slither Wing	Protosynthesis (1)	Gentle	-	31	31	31	1	31	31	Fire	5	5	Jumbo
ME11S	Base	00294D24	Slither Wing	Protosynthesis (1)	Lax	-	17	31	31	23	31	31	Fire	4	5	Jumbo
ME12S	Base	01D19A1D	Slither Wing	Protosynthesis (1)	Jolly	-	31	31	31	22	15	31	Water	4	5	Teeny
ME13S	Base	0477DA66	Slither Wing	Protosynthesis (1)	Impish	-	31	31	16	31	29	31	Fire	4	5	Jumbo
ME14S	Base	059A8B63	Slither Wing	Protosynthesis (1)	Hardy	-	31	14	31	31	17	31	Ice	4	5	Jumbo
ME15S	Base	05ABEDFF	Slither Wing	Protosynthesis (1)	Serious	-	31	6	14	31	31	31	Steel	4	5	Jumbo
ME16S	Base	06907AE9	Slither Wing	Protosynthesis (1)	Quirky	-	31	31	31	31	10	14	Ground	4	5	Teeny
ME17S	Base	06D17CEA	Slither Wing	Protosynthesis (1)	Adamant	-	31	13	31	31	31	11	Fire	4	5	Jumbo
