ID	Type	Seed	Pokemon	Ability	Nature	Gender	HP	ATK	DEF	SPA	SPD	SPE	TeraType	IVCount	Stars	Mark
DLC1	Base	08689951	Ariados	Insomnia (2)	Hardy	♀	3	31	31	2	31	31	Electric	4	4	
DLC2	Base	08AA36D5	Ariados	Sniper (H)	Docile	♀	31	31	9	17	31	31	Dark	4	4	
DLC3	Base	08AAC619	Ariados	Sniper (H)	Quirky	♂	31	10	31	31	6	31	Ghost	4	4	
DLC4	Base	0830A966	Ariados	Sniper (H)	Hardy	♂	17	1	31	22	31	31	Fighting	3	4	
DLC5	Base	0834C952	Ariados	Swarm (1)	Calm	♂	31	31	20	18	13	31	Psychic	3	4	
DLC6	Base	0836D94A	Ariados	Swarm (1)	Jolly	♂	31	1	10	4	31	31	Rock	3	4	
DLC7	Base	08381318	Ariados	Swarm (1)	Impish	♂	31	31	9	31	29	11	Steel	3	4	
DLC8	Base	083E118B	Ariados	Sniper (H)	Docile	♀	31	21	31	17	17	31	Bug	3	4	
DLC9	Base	0841E956	Ariados	Swarm (1)	Calm	♂	31	3	13	31	10	31	Fairy	3	4	
DLC10	Base	0845E966	Ariados	Sniper (H)	Lonely	♂	22	31	25	31	31	13	Fighting	3	4	
DLC11	Base	0846F968	Ariados	Insomnia (2)	Adamant	♂	31	4	16	31	31	29	Poison	3	4	
DLC12	Base	0849BAE9	Ariados	Swarm (1)	Mild	♂	1	31	19	24	31	31	Ground	3	4	
DLC13	Base	084FC468	Ariados	Sniper (H)	Naive	♂	1	27	31	31	1	31	Poison	3	4	
DLC14	Base	0853D949	Ariados	Insomnia (2)	Lonely	♂	5	29	31	6	31	31	Ground	3	4	
DLC15	Base	08554965	Ariados	Sniper (H)	Lax	♂	2	18	31	31	15	31	Normal	3	4	
DLC16	Base	08565DA4	Ariados	Insomnia (2)	Bashful	♀	2	31	31	16	31	20	Ground	3	4	
DLC17	Base	08572595	Ariados	Insomnia (2)	Lonely	♂	31	31	20	27	8	31	Dark	3	4	
DLC18	Base	085B4BA0	Ariados	Swarm (1)	Bold	♀	31	31	5	4	3	31	Normal	3	4	
DLC19	Base	085CF94B	Ariados	Swarm (1)	Lonely	♂	31	5	31	31	3	7	Bug	3	4	
DLC20	Base	085FB962	Ariados	Sniper (H)	Bold	♂	31	22	20	31	0	31	Fairy	3	4	
DLC21	Base	0864F95C	Ariados	Sniper (H)	Bold	♂	8	31	31	2	19	31	Electric	3	4	
DLC22	Base	086A6947	Ariados	Swarm (1)	Lonely	♂	21	31	31	31	2	1	Flying	3	4	
DLC23	Base	086A6AE6	Ariados	Insomnia (2)	Bashful	♀	10	31	26	31	31	6	Fighting	3	4	
DLC24	Base	086E0954	Ariados	Sniper (H)	Hardy	♂	31	31	14	31	12	25	Dragon	3	4	
DLC25	Base	086FC947	Ariados	Swarm (1)	Quiet	♂	14	21	31	31	31	23	Flying	3	4	
DLC26	Base	08706F18	Ariados	Insomnia (2)	Bold	♂	31	8	31	16	31	21	Steel	3	4	
DLC27	Base	0872E964	Ariados	Insomnia (2)	Hasty	♂	31	9	6	31	31	5	Ground	3	4	
DLC28	Base	08761B50	Ariados	Sniper (H)	Relaxed	♀	31	5	31	31	29	17	Grass	3	4	
DLC29	Base	08835A56	Ariados	Swarm (1)	Docile	♀	31	31	31	16	16	9	Fairy	3	4	
DLC30	Base	08891955	Ariados	Insomnia (2)	Rash	♂	31	31	26	1	10	31	Dark	3	4	
DLC31	Base	08896962	Ariados	Insomnia (2)	Naughty	♂	31	4	2	1	31	31	Fairy	3	4	
DLC32	Base	088F794F	Ariados	Insomnia (2)	Brave	♀	25	31	31	24	12	31	Water	3	4	
DLC33	Base	0891F95D	Ariados	Swarm (1)	Brave	♂	31	4	31	26	9	31	Grass	3	4	
DLC34	Base	089AD94A	Ariados	Swarm (1)	Lonely	♂	12	3	31	23	31	31	Rock	3	4	
DLC35	Base	089C1464	Ariados	Sniper (H)	Naughty	♀	5	31	30	13	31	31	Ground	3	4	
