ID	Type	Seed	Pokemon	Ability	Nature	Gender	HP	ATK	DEF	SPA	SPD	SPE	TeraType	IVCount	Stars	Mark
61S	Black	330EB3E8	Amoonguss	Regenerator (H)	Careful	♀	31	31	31	31	31	31	Poison	6	6	
62S	Black	33197E26	Amoonguss	Regenerator (H)	Impish	♀	31	31	31	31	31	31	Fighting	6	6	
63S	Black	3321B385	Amoonguss	Regenerator (H)	Serious	♀	31	31	31	31	31	31	Normal	6	6	
64S	Black	33359DF0	Amoonguss	Regenerator (H)	Mild	♂	31	31	31	31	31	31	Grass	6	6	
65S	Black	33D093B5	Amoonguss	Regenerator (H)	Impish	♂	31	31	31	31	31	31	Dark	6	6	
66S	Black	33DD7E07	Amoonguss	Regenerator (H)	Naive	♂	31	31	31	31	31	31	Flying	6	6	
67S	Black	33FAF3C5	Amoonguss	Regenerator (H)	Jolly	♀	31	31	31	31	31	31	Normal	6	6	
68S	Black	34219DFF	Amoonguss	Regenerator (H)	Serious	♂	31	31	31	31	31	31	Bug	6	6	
69S	Black	352BF3E7	Amoonguss	Regenerator (H)	Modest	♂	31	31	31	31	31	31	Flying	6	6	
610S	Black	356ABDDE	Amoonguss	Regenerator (H)	Lonely	♀	31	31	31	31	31	31	Ghost	6	6	
611S	Black	358B53FB	Amoonguss	Regenerator (H)	Quiet	♀	31	31	31	31	31	31	Flying	6	6	
612S	Black	369EDE08	Amoonguss	Regenerator (H)	Quirky	♀	31	31	31	31	31	31	Poison	6	6	
613S	Black	36EA3DE1	Amoonguss	Regenerator (H)	Careful	♀	31	31	31	31	31	31	Steel	6	6	
614S	Black	36EA93AA	Amoonguss	Regenerator (H)	Quiet	♀	31	31	31	31	31	31	Rock	6	6	
615S	Black	3727D3B6	Amoonguss	Regenerator (H)	Docile	♂	31	31	31	31	31	31	Fairy	6	6	
616S	Black	3730338E	Amoonguss	Regenerator (H)	Sassy	♀	31	31	31	31	31	31	Fire	6	6	
617S	Black	375D3DDD	Amoonguss	Regenerator (H)	Lax	♂	31	31	31	31	31	31	Steel	6	6	
618S	Black	3801738D	Amoonguss	Regenerator (H)	Calm	♂	31	31	31	31	31	31	Steel	6	6	
619S	Black	38771E14	Amoonguss	Regenerator (H)	Lonely	♂	31	31	31	31	31	31	Dragon	6	6	
620S	Black	393D3399	Amoonguss	Regenerator (H)	Hasty	♂	31	31	31	31	31	31	Rock	6	6	
621S	Black	394CBE26	Amoonguss	Regenerator (H)	Modest	♂	31	31	31	31	31	31	Fighting	6	6	
622S	Black	395273FC	Amoonguss	Regenerator (H)	Careful	♀	31	31	31	31	31	31	Water	6	6	
623S	Black	399053F8	Amoonguss	Regenerator (H)	Naive	♂	31	31	31	31	31	31	Bug	6	6	
624S	Black	3A7013F6	Amoonguss	Regenerator (H)	Calm	♀	31	31	31	31	31	31	Fairy	6	6	
625S	Black	3BF53E1B	Amoonguss	Regenerator (H)	Serious	♀	31	31	31	31	31	31	Poison	6	6	
626S	Black	3C575DE2	Amoonguss	Regenerator (H)	Timid	♂	31	31	31	31	31	31	Ghost	6	6	
627S	Black	3C819DEC	Amoonguss	Regenerator (H)	Adamant	♀	31	31	31	31	31	31	Ghost	6	6	
628S	Black	3CCB1DE0	Amoonguss	Regenerator (H)	Mild	♂	31	31	31	31	31	31	Ghost	6	6	
629S	Black	3CDAF39F	Amoonguss	Regenerator (H)	Gentle	♂	31	31	31	31	31	31	Ghost	6	6	
630S	Black	3CED93C9	Amoonguss	Regenerator (H)	Docile	♀	31	31	31	31	31	31	Ground	6	6	
631S	Black	3DA6B38B	Amoonguss	Regenerator (H)	Quiet	♂	31	31	31	31	31	31	Bug	6	6	
632S	Black	3DB393F7	Amoonguss	Regenerator (H)	Docile	♂	31	31	31	31	31	31	Dragon	6	6	
633S	Black	3DDE93F2	Amoonguss	Regenerator (H)	Rash	♀	31	31	31	31	31	31	Psychic	6	6	
634S	Black	3DDED38B	Amoonguss	Regenerator (H)	Quirky	♂	31	31	31	31	31	31	Bug	6	6	
635S	Black	3DE93E24	Amoonguss	Regenerator (H)	Lax	♂	31	31	31	31	31	31	Flying	6	6	
636S	Black	3EF95DE6	Amoonguss	Regenerator (H)	Hasty	♀	31	31	31	31	31	31	Fighting	6	6	
637S	Black	3F8AFE2E	Amoonguss	Regenerator (H)	Serious	♀	31	31	31	31	31	31	Fire	6	6	
638S	Black	3FB27E14	Amoonguss	Regenerator (H)	Relaxed	♂	31	31	31	31	31	31	Dragon	6	6	
639S	Black	3FE713F4	Amoonguss	Regenerator (H)	Timid	♀	31	31	31	31	31	31	Dragon	6	6	
640S	Black	4068F39D	Amoonguss	Regenerator (H)	Serious	♂	31	31	31	31	31	31	Fairy	6	6	
641S	Black	40949DEC	Amoonguss	Regenerator (H)	Bashful	♀	31	31	31	31	31	31	Ghost	6	6	
642S	Black	40D01386	Amoonguss	Regenerator (H)	Calm	♂	31	31	31	31	31	31	Fighting	6	6	
643S	Black	411F53E6	Amoonguss	Regenerator (H)	Mild	♀	31	31	31	31	31	31	Fighting	6	6	
644S	Black	417B93CA	Amoonguss	Regenerator (H)	Mild	♀	31	31	31	31	31	31	Rock	6	6	
645S	Black	41D433E4	Amoonguss	Regenerator (H)	Bashful	♂	31	31	31	31	31	31	Grass	6	6	
646S	Black	422B33D2	Amoonguss	Regenerator (H)	Naughty	♂	31	31	31	31	31	31	Psychic	6	6	
647S	Black	424B5DE8	Amoonguss	Regenerator (H)	Naive	♀	31	31	31	31	31	31	Poison	6	6	
648S	Black	425933C0	Amoonguss	Regenerator (H)	Quirky	♂	31	31	31	31	31	31	Ghost	6	6	
649S	Black	42B85E09	Amoonguss	Regenerator (H)	Naive	♂	31	31	31	31	31	31	Ground	6	6	
650S	Black	42C3FDE0	Amoonguss	Regenerator (H)	Hasty	♀	31	31	31	31	31	31	Ghost	6	6	
651S	Black	42C953C1	Amoonguss	Regenerator (H)	Quirky	♀	31	31	31	31	31	31	Bug	6	6	
652S	Black	42F8FDD9	Amoonguss	Regenerator (H)	Calm	♂	31	31	31	31	31	31	Ice	6	6	
653S	Black	435BB3EB	Amoonguss	Regenerator (H)	Bold	♀	31	31	31	31	31	31	Bug	6	6	
654S	Black	439DB387	Amoonguss	Regenerator (H)	Quiet	♂	31	31	31	31	31	31	Flying	6	6	
655S	Black	43BC338D	Amoonguss	Regenerator (H)	Gentle	♂	31	31	31	31	31	31	Steel	6	6	
656S	Black	43D3B3F7	Amoonguss	Regenerator (H)	Sassy	♀	31	31	31	31	31	31	Bug	6	6	
657S	Black	43D87392	Amoonguss	Regenerator (H)	Lonely	♂	31	31	31	31	31	31	Psychic	6	6	
658S	Black	44349DEB	Amoonguss	Regenerator (H)	Timid	♂	31	31	31	31	31	31	Bug	6	6	
659S	Black	4469F3C8	Amoonguss	Regenerator (H)	Lonely	♂	31	31	31	31	31	31	Poison	6	6	
660S	Black	4480B3FB	Amoonguss	Regenerator (H)	Lax	♀	31	31	31	31	31	31	Electric	6	6	
661S	Black	44FAD3E6	Amoonguss	Regenerator (H)	Bold	♂	31	31	31	31	31	31	Fighting	6	6	
662S	Black	4580738C	Amoonguss	Regenerator (H)	Bold	♀	31	31	31	31	31	31	Ghost	6	6	
663S	Black	458C33F5	Amoonguss	Regenerator (H)	Bold	♂	31	31	31	31	31	31	Dark	6	6	
664S	Black	45D39E2B	Amoonguss	Regenerator (H)	Brave	♀	31	31	31	31	31	31	Bug	6	6	
665S	Black	45F99E0C	Amoonguss	Regenerator (H)	Jolly	♀	31	31	31	31	31	31	Ghost	6	6	
666S	Black	466C13B3	Amoonguss	Regenerator (H)	Careful	♀	31	31	31	31	31	31	Ice	6	6	
667S	Black	46EE5E1A	Amoonguss	Regenerator (H)	Mild	♀	31	31	31	31	31	31	Psychic	6	6	
668S	Black	479053E0	Amoonguss	Regenerator (H)	Hardy	♀	31	31	31	31	31	31	Ghost	6	6	
669S	Black	47B05E3C	Amoonguss	Regenerator (H)	Bold	♀	31	31	31	31	31	31	Poison	6	6	
670S	Black	47BAD3C7	Amoonguss	Regenerator (H)	Rash	♂	31	31	31	31	31	31	Flying	6	6	
671S	Black	47F3FE16	Amoonguss	Regenerator (H)	Hasty	♂	31	31	31	31	31	31	Fairy	6	6	
672S	Black	48313E36	Amoonguss	Regenerator (H)	Hasty	♀	31	31	31	31	31	31	Fairy	6	6	
673S	Black	48A933D2	Amoonguss	Regenerator (H)	Lonely	♀	31	31	31	31	31	31	Psychic	6	6	
674S	Black	49C47387	Amoonguss	Regenerator (H)	Naughty	♂	31	31	31	31	31	31	Flying	6	6	
675S	Black	4A01F39D	Amoonguss	Regenerator (H)	Timid	♀	31	31	31	31	31	31	Fighting	6	6	
676S	Black	4A195DF5	Amoonguss	Regenerator (H)	Lax	♀	31	31	31	31	31	31	Dark	6	6	
677S	Black	4ABA13F9	Amoonguss	Regenerator (H)	Rash	♂	31	31	31	31	31	31	Dragon	6	6	
