ID	Type	Seed	Pokemon	Ability	Nature	Gender	HP	ATK	DEF	SPA	SPD	SPE	TeraType	IVCount	Stars	Mark
M1S	Base	3E26F07C	Altaria	Cloud Nine (H)	Sassy	♀	31	23	31	29	31	31	Water	4	5	Teeny
M2S	Base	A8818B72	Amoonguss	Regenerator (H)	Rash	♂	30	31	31	0	31	31	Psychic	4	5	Teeny
M3S	Base	608A14CF	Ampharos	Plus (H)	Bashful	♀	31	21	13	12	31	31	Water	3	4	Teeny
M4S	Base	D2EF5BF4	Annihilape	Defiant (H)	Naughty	♂	12	31	31	31	14	31	Dragon	4	5	Teeny
M5S	Base	65A101F2	Arboliva	Harvest (H)	Adamant	♂	31	29	31	1	31	31	Psychic	4	5	Teeny
M6S	Base	1CE7EC71	Arboliva	Harvest (H)	Relaxed	♂	31	31	10	31	5	31	Electric	4	5	Jumbo
M7S	Base	CB4F2884	Arcanine-Normal	Flash Fire (2)	Naughty	♂	9	31	31	12	31	31	Ground	4	5	Jumbo
M8S	Base	8C535D94	Axew	Mold Breaker (2)	Modest	♀	13	4	31	31	0	5	Dragon	2	3	Jumbo
M9S	Base	5A10EACA	Azumarill	Thick Fat (1)	Quirky	♂	27	31	21	17	31	31	Rock	3	4	Jumbo
M10S	Base	82B34FDF	Barraskewda	Swift Swim (1)	Hardy	♀	31	31	28	31	26	14	Dragon	3	4	Jumbo
M11S	Base	1F390FC9	Barraskewda	Swift Swim (1)	Impish	♀	6	7	31	31	13	31	Ground	3	4	Jumbo
M12S	Base	A0869662	Beartic	Slush Rush (2)	Timid	♂	31	31	31	31	9	15	Fire	4	4	Teeny
M13S	Base	C992A759	Bisharp	Defiant (1)	Brave	♀	25	27	31	31	12	31	Ice	3	4	Jumbo
M14S	Base	A5377AFE	Brambleghast	Infiltrator (H)	Bold	♀	31	31	31	18	31	31	Normal	5	5	Teeny
M15S	Base	821ED953	Cacturne	Sand Veil (1)	Mild	♀	21	31	30	31	31	6	Ice	3	4	Teeny
M16S	Base	C1D2869D	Chansey	Healer (H)	Sassy	♀	31	24	5	31	25	30	Flying	2	3	Teeny
